,Unnamed: 0.1,Unnamed: 0,STI_Price,SPY_Price,SHG_Price,US Interest Rates,China Interest Rates ,Production Index United States,Production Index China,Date,CNY,USD,STI_Price_returns,SPY_Price_returns,SHG_Price_returns,US Interest Rates_returns,China Interest Rates _returns,Production Index United States_returns,Production Index China_returns,CNY_returns,USD_returns
0,0,0,2074.68,1282.71,1570.7,4.603333333333333,3.24,4.43329893,-2.303333333,1999-09-30,1.6882666666666666,1.3349666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2302.69,1407.03,1435.37,4.87,3.24,4.835099255,-0.86,1999-12-31,1.6696666666666669,1.3427666666666669,0.10990128598145277,0.09691980260542121,-0.08615903737187247,0.057929036929761146,0.0,0.0906323555763473,-0.6266280751992226,-0.011017216869372737,0.005842842517915781
2,2,2,2181.936667,1419.82,1683.266667,5.1933333333333325,3.24,4.709447084,0.966666667,2000-03-31,1.7124,1.3665333333333336,-0.05244011699360318,0.009090069152754454,0.17270576018726902,0.06639288158795331,0.0,-0.025987506020701212,-2.124031008139535,0.02559393092433604,0.01769977409825496
3,3,3,2043.596667,1442.543333,1886.326667,5.736666666666666,3.24,4.998180362,2.7,2000-06-30,1.7226,1.4051,-0.0634023902216223,0.016004375906805146,0.12063448054959913,0.10462130937098868,0.0,0.061309379392105345,1.7931034473127232,0.0059565522074280786,0.02822226558688623
4,4,4,2087.99,1461.673333,1984.966667,6.0,3.24,3.973205841,4.033333333,2000-09-30,1.7310666666666668,1.393066666666667,0.02172313828695427,0.013261300067995974,0.05229210916944527,0.04590354445090061,0.0,-0.20506953466358324,0.4938271603703701,0.004915050892062567,-0.008564040519061344
5,5,5,2007.99,1354.876667,2035.126667,6.0,3.24,1.878627594,3.3,2000-12-31,1.7469333333333334,1.3572666666666666,-0.038314359743102155,-0.07306466061114081,0.0252699457547112,0.0,0.0,-0.5271758702722595,-0.18181818175056352,0.00916583224216283,-0.025698698315467228
6,6,6,1906.546667,1255.426667,2045.856667,5.11,3.24,-0.368478324,0.833333333,2001-03-31,1.7645666666666668,1.3807666666666665,-0.05051983974023777,-0.07340151500298886,0.0052723990963261524,-0.14833333333333332,0.0,-1.196142293010522,-0.7474747475757575,0.010093878797130307,0.01731420993172539
7,7,7,1668.516667,1243.22,2183.823333,3.826666666666666,3.24,-2.825269735,-0.3,2001-06-30,1.818,1.3618,-0.12484876668376876,-0.0097231222825378,0.06743711239669148,-0.2511415525114157,0.0,6.667397377219942,-1.360000000144,0.03028127774524436,-0.013736330058180202
8,8,8,1501.29,1128.583333,1839.776667,3.06,3.24,-4.087629734,-2.066666667,2001-09-30,1.7698666666666665,1.3508666666666669,-0.1002247507066707,-0.09220947780762856,-0.15754326863399248,-0.20034843205574904,0.0,0.4468104348981745,5.88888889,-0.026475980931426668,-0.008028589611788095
9,9,9,1489.38,1115.77,1694.376667,1.643333333333333,3.24,-4.878475788,-3.6,2001-12-31,1.8338333333333328,1.3733333333333333,-0.007933177467377983,-0.011353466443580817,-0.0790313316871738,-0.462962962962963,0.0,0.1934730162621916,0.7419354835900107,0.03614208226608384,0.016631298425701768
10,10,10,1782.416667,1128.106667,1540.086667,1.25,2.88,-2.980106674,-4.133333333,2002-03-31,1.8378333333333328,1.3663666666666667,0.1967507734762115,0.011056639809279734,-0.09106003582614253,-0.23935091277890452,-0.11111111111111116,-0.3891316051356818,0.14814814805555554,0.0021812233027356243,-0.005072815533980535
11,11,11,1647.13,1044.626667,1638.746667,1.25,2.7,-0.214025645,-2.733333333,2002-06-30,1.7907,1.3419333333333334,-0.07590069679257538,-0.07400009453184098,0.06406132986800261,0.0,-0.06249999999999989,-0.92818188460592,-0.33870967744667024,-0.025646141289561664,-0.017881974091873754
12,12,12,1430.536667,880.99,1633.276667,1.25,2.7,1.800104461,-1.8,2002-09-30,1.763966666666667,1.3156666666666668,-0.13149741246896118,-0.15664607478376769,-0.0033379167812518373,0.0,0.0,-9.410695180944321,-0.341463414553837,-0.014928984940712042,-0.01957374931690592
13,13,13,1367.126667,900.63,1433.11,0.9433333333333332,2.7,2.873976135,-0.333333333,2002-12-31,1.7560333333333336,1.3494,-0.044326022158507894,0.022293102078343674,-0.12255527250485121,-0.2453333333333334,0.0,0.5965607537039483,-0.814814815,-0.004497439482983423,0.025639726374461436
14,14,14,1241.863333,848.3433333,1507.443333,2.25,2.7,2.758989918,3.666666667,2003-03-31,1.7454999999999998,1.3557666666666666,-0.09162525830534474,-0.05805565737317209,0.051868546727048104,1.3851590106007068,0.0,-0.04000945435825609,-12.000000012,-0.00599836753288685,0.0047181463366434695
15,15,15,1333.8,951.67,1527.906667,2.166666666666667,2.7,0.444063045,2.3,2003-06-30,1.7553999999999998,1.3852,0.07403122755698588,0.12179817138194027,0.013574861191813614,-0.03703703703703687,0.0,-0.8390486887600146,-0.3727272727842975,0.005671727298768303,0.021709733729992964
16,16,16,1574.263333,999.1,1421.96,2.0,2.7,0.48817232,1.4,2003-09-30,1.7472,1.4031,0.18028440020992664,0.04983870459297868,-0.0693410594300391,-0.0769230769230771,0.0,0.09933110961755443,-0.3913043478260869,-0.004671299988606492,0.012922321686399174
17,17,17,1706.433333,1073.61,1414.186667,2.0,2.7,1.512180222,2.033333333,2003-12-31,1.7203333333333333,1.4238333333333333,0.08395672898518813,0.0745771194074667,-0.005466632676024763,0.0,0.0,2.097636142090154,0.45238095214285723,-0.015376984126984183,0.014776803744090516
18,18,18,1823.286667,1134.093333,1669.14,2.0,2.7,1.592981951,3.633333333,2004-03-31,1.6885666666666663,1.3546000000000002,0.06847811264596304,0.05633640986950583,0.18028265924812326,0.0,0.0,0.05343392793031776,0.786885246030637,-0.018465413679519593,-0.04862460493971654
19,19,19,1773.613333,1122.94,1516.886667,2.083333333333333,2.7,2.947685638,5.7,2004-06-30,1.7061,1.3558666666666666,-0.02724384206775976,-0.009834581224894667,-0.09121663431467708,0.04166666666666652,0.0,0.8504199850786631,0.5688073395934687,0.010383560021320015,0.0009350853880600862
20,20,20,1863.543333,1106.846667,1374.986667,2.5,2.7,2.844148737,7.033333333,2004-09-30,1.7043666666666668,1.3927666666666667,0.05070440006666321,-0.014331427324701274,-0.09354687010377694,0.20000000000000018,0.0,-0.03512481102640563,0.23391812859649108,-0.0010159623312426813,0.027215065394827542
21,21,21,1949.066667,1171.98,1309.27,3.0,3.33,3.303359706,7.866666667,2004-12-31,1.6444666666666663,1.4094,0.045892860383515366,0.05884585005485676,-0.04779440308565541,0.19999999999999996,0.23333333333333317,0.16145814142068216,0.11848341242267701,-0.03514501965539529,0.011942656104157123
22,22,22,2036.173333,1188.486667,1226.353333,3.5,3.33,4.008998803,5.6,2005-03-31,1.6371666666666669,1.4015333333333333,0.04469147591245526,0.014084427208655326,-0.06333045666669213,0.16666666666666674,0.0,0.21361255200828544,-0.28813559325050275,-0.004439129200956349,-0.005581571354240644
23,23,23,2095.673333,1179.893333,1100.276667,4.0,3.33,3.993639121,5.633333333,2005-06-30,1.6630666666666667,1.3392,0.02922148082174103,-0.007230484143075255,-0.10280615105565172,0.1428571428571428,0.0,-0.0038313012187746187,0.005952380892857212,0.01582001425226487,-0.0444750987014223
24,24,24,2245.15,1227.773333,1133.813333,4.5,3.33,2.971498044,5.0,2005-09-30,1.6788,1.3624333333333334,0.07132632011212392,0.04057993944101734,0.03048021193745809,0.125,0.0,-0.2559422737085112,-0.1124260354504395,0.009460434538603346,0.017348665870171365
25,25,25,2216.243333,1234.926667,1117.713333,5.0,3.33,2.457163556,3.466666667,2005-12-31,1.6827,1.3052666666666666,-0.012875160679687414,0.005826265979015144,-0.01419986829525155,0.11111111111111116,0.0,-0.17308929044679533,-0.30666666659999997,0.0023230879199427346,-0.04195923959582126
26,26,26,2410.546667,1285.19,1285.126667,5.583333333333333,3.33,2.014197591,2.866666667,2006-03-31,1.6199666666666666,1.2572,0.08767238285923362,0.04070147187128481,0.14978199602455677,0.1166666666666667,0.0,-0.18027532758995546,-0.1730769230602811,-0.03728135338047989,-0.03682516982481221
27,27,27,2428.256667,1283.633333,1584.576667,6.0,3.33,2.037074373,2.6,2006-06-30,1.5812333333333333,1.2510333333333332,0.0073468812043537834,-0.0012112349146818913,0.23301205063236008,0.07462686567164178,0.0,0.011357764552107463,-0.09302325591941585,-0.02390995699499987,-0.004905080072118095
28,28,28,2459.11,1305.443333,1674.596667,6.25,3.33,2.890594374,3.5,2006-09-30,1.5801666666666667,1.2669333333333337,0.012705960378611048,0.016990833316105514,0.05681012593125612,0.04166666666666674,0.0,0.41899304822288896,0.34615384615384603,-0.0006745789151927362,0.012709493485385748
29,29,29,2778.123333,1398.956667,2204.25,6.25,3.33,2.20220053,2.933333333,2006-12-31,1.5438,1.2529666666666666,0.12972715047313854,0.07163339199496299,0.31628710568787954,0.0,0.0,-0.2381495827266148,-0.16190476199999992,-0.023014449952536653,-0.011023994948432314
30,30,30,3079.856667,1421.973333,2950.463333,6.25,3.33,2.269375144,2.866666667,2007-03-31,1.5275999999999998,1.2666000000000002,0.10861048910818827,0.01645273691668958,0.3385338927072701,0.0,0.0,0.030503404701296866,-0.022727272502582663,-0.010493587252234926,0.010880842799755541
31,31,31,3400.976667,1505.446667,3923.873333,6.25,3.33,2.847758159,2.733333333,2007-06-30,1.5269666666666666,1.2542,0.1042645923885781,0.05870246091316811,0.32991767398452865,0.0,0.0,0.25486443549414317,-0.04651162813412657,-0.0004145936981757581,-0.009789988946786843
32,32,32,3484.953333,1485.336667,5080.716667,5.75,3.33,2.522910872,2.566666667,2007-09-30,1.5091333333333334,1.2383666666666666,0.024691926532408592,-0.013358161694345783,0.2948217834329363,-0.07999999999999996,0.0,-0.11407123388387419,-0.06097560951963121,-0.011678927721626597,-0.012624249189390313
33,33,33,3575.2,1499.626667,5362.703333,4.916666666666666,3.33,2.605125175,4.4,2007-12-31,1.4459,1.2203,0.025896090528796822,0.009620714493544513,0.05550135630107955,-0.14492753623188415,0.0,0.032587081815865115,0.7142857140630801,-0.041900428502010034,-0.01458910931065116
34,34,34,3005.186667,1343.96,4068.213333,3.166666666666667,4.14,1.31640855,6.9,2008-03-31,1.3962666666666668,1.2394,-0.15943536948981873,-0.10380361354296985,-0.24138758376474223,-0.35593220338983034,0.2432432432432432,-0.4946851066379181,0.5681818181818181,-0.03432694746063569,0.01565188887978386
35,35,35,3095.983333,1355.323333,3287.52,2.25,4.14,-1.353286942,8.366666667,2008-06-30,1.3595333333333333,1.2634999999999998,0.03021331985697917,0.008455112503348294,-0.19190078520889609,-0.2894736842105263,0.0,-2.028014397202145,0.21256038652173914,-0.026308250572956604,0.01944489269001104
36,36,36,2676.17,1238.856667,2488.956667,2.25,4.14,-4.680267367,9.733333333,2008-09-30,1.4059333333333337,1.2552333333333332,-0.1355993517552958,-0.08593275358301533,-0.24290752086679324,0.0,0.0,2.458444193722221,0.16334661345962753,0.03412935811307838,-0.006542672470650324
37,37,37,1762.776667,922.7466667,1806.92,1.0,3.33,-9.048093906,2.5,2008-12-31,1.4760333333333333,1.2776666666666667,-0.3413061700116211,-0.25516269050356577,-0.2740251270915356,-0.5555555555555556,-0.19565217391304335,0.9332429531263573,-0.7431506849227106,0.04986011664848955,0.017871843216400896
38,38,38,1680.443333,786.28,2148.906667,0.5,2.79,-13.96638685,-4.6,2009-03-31,1.5265333333333333,1.238,-0.04670661663574205,-0.14789180131968716,0.18926497409957288,-0.5,-0.16216216216216217,0.5435722700378436,-2.84,0.03421331948239659,-0.031046177928515606
