china_interest_rates	cny	production_index_china	production_index_united_states	quarter	shg_price	spy_price	sti_price	us_interest_rates	usd
2.9	0.2043	2.133333333	-2.745648348	2021-01-01	3478.02	3832.76	3005.6333330000004	0.25	1.6912
2.9	0.2080	-1.3333333329999998	-4.702691811	2020-10-01	3363.12	3549.2199999999996	2691.2	0.25	1.7220
2.9	0.2086	-2.166666667	-6.697827536	2020-07-01	3307.913333	3378.143333	2509.65	0.25	1.7270
2.9	0.2049	-3.266666667	-14.66035726	2020-04-01	2899.033333	3019.0100000000004	2574.963333	0.25	1.6965
2.9	0.2086	-0.666666667	-2.704591363	2020-01-01	2869.043333	2921.443333	2882.013333	1.5833333333333332	1.7270
2.9	0.2054	-1.1666666670000002	-2.019952952	2019-10-01	2950.3866670000004	3136.44	3215.543333	2.25	1.7005
2.9	0.2032	-0.766666667	-1.348505683	2019-07-01	2907.98	2961.193333	3175.753333	2.75	1.6825
2.9	0.2035	0.5	-0.57234145	2019-04-01	2985.306667	2879.8833330000004	3279.856667	3	1.6843
2.9	0.2051	0.2	1.189570195	2019-01-01	2872.093333	2774.33	3205.246667	3	1.6980
2.9	0.2009	2.3	2.706762081	2018-10-01	2561.623333	2659.586667	3068.39	2.8333333333333332	1.6625
2.9	0.2031	4.1	4.008868172	2018-07-01	2807.666667	2877.263333	3263.46	2.5833333333333332	1.6810
2.9	0.2011	4.066666667	2.81925817	2018-04-01	3008.373333	2690.563333	3436.936667	2.3333333333333332	1.6655
2.9	0.2056	3.7	3.073666474	2018-01-01	3303.046667	2726.17	3493.3	2.0833333333333332	1.7017
2.9	0.2082	5.866666667	2.5693879060000004	2017-10-01	3339.233333	2632.15	3403.513333	1.8333333333333332	1.7240
2.9	0.2067	6.233333333	1.105948095	2017-07-01	3327.593333	2487.103333	3275.563333	1.75	1.7115
2.9	0.2061	5.8	1.697286625	2017-04-01	3154.756667	2406.4699999999996	3204.246667	1.5833333333333332	1.7072
2.9	0.2092	7.433333333	-0.085216244	2017-01-01	3207.803333	2335.076667	3106.173333	1.3333333333333332	1.7323
2.9	0.2087	3.333333333	-0.819322418	2016-10-01	3151.3866670000004	2187.93	2866.6	1.0833333333333332	1.7283
2.9	0.2092	-0.8	-2.130316426	2016-07-01	3023.176667	2170.94	2852.916667	1	1.7325
2.9	0.2079	-2.9333333330000004	-2.33226075	2016-04-01	2928.183333	2087.04	2823.503333	1	1.7212
2.9	0.2101	-4.833333333	-3.337776769	2016-01-01	2809.833333	1977.403333	2712.173333	1	1.7395
3.016666667	0.2119	-5.9	-3.76866971	2015-10-01	3455.713333	2067.9033330000004	2912.34	0.83333333333333328	1.7545
3.25	0.2117	-5.733333333	-1.863850132	2015-07-01	3307.5	1998.683333	2971.61	0.75	1.7528
3.25	0.2094	-4.666666667	-1.366081242	2015-04-01	4443.54	2085.336667	3398.943333	0.75	1.7335
3.25	0.2107	-4.766666667	1.417972973	2015-01-01	3422.853333	2055.793333	3413.69	0.75	1.7435
3.25	0.2107	-2.733333333	3.261410768	2014-10-01	2779.23	2048.17	3329.966667	0.75	1.7447
3.25	0.2182	-0.966666667	3.345346657	2014-07-01	2260.876667	1968.776667	3325.963333	0.75	1.8055
3.25	0.2200	-1.766666667	3.173927056	2014-04-01	2037.966667	1922.583333	3272.076667	0.75	1.8215
3.25	0.2187	-1.966666667	2.221662046	2014-01-01	2040.896667	1838.126667	3108.873333	0.75	1.8095
3.25	0.2203	-1.433333333	2.312059087	2013-10-01	2159.3633329999996	1803.57	3184.816667	0.75	1.8230
3.25	0.2178	-1.733333333	2.134596368	2013-07-01	2088.946667	1666.75	3139.58	0.75	1.8033
3.25	0.2102	-2.733333333	1.707126915	2013-04-01	2152.57	1611.53	3276.663333	0.75	1.7403
3.25	0.2133	-1.7	1.890172066	2013-01-01	2329.21	1527.326667	3286.9033330000004	0.75	1.7660
3.25	0.2203	-2.3	2.120327569	2012-10-01	2106.043333	1418.176667	3091.8	0.75	1.8235
3.25	0.2213	-3.333333333	2.678160226	2012-07-01	2079.106667	1408.856667	3040.733333	0.75	1.8315
3.25	0.2231	-1.4	3.836630193	2012-04-01	2331.326667	1356.8	2876.52	0.75	1.8465
3.25	0.2223	0.133333333	3.604353224	2012-01-01	2327.963333	1362.186667	2970.4033330000004	0.75	1.8403
3.25	0.2213	3.133333333	3.125019028	2011-10-01	2333.693333	1252.6199999999998	2734.86	0.75	1.8312
3.25	0.2225	7.1	2.491837752	2011-07-01	2542.763333	1214.196667	2916.56	0.75	1.8420
3.25	0.2194	6.9	2.709922096	2011-04-01	2805.686667	1343.15	3153.41	0.75	1.8157
3.25	0.2162	7.033333333	4.292931671	2011-01-01	2874.6166669999996	1313.056667	3098.693333	0.75	1.7889
2.943333333	0.2136	5.666666667	5.708321552	2010-10-01	2869.0300000000004	1207.15	3159.12	0.75	1.7675
2.79	0.2131	4.466666667	6.906537739	2010-07-01	2643.986667	1097.376667	3011.8866670000004	0.75	1.7633
2.79	0.2113	6.78	7.300065686	2010-04-01	2620.376667	1102.27	2854.2399999999996	0.75	1.7496
2.79	0.2150	5.2	2.345606108	2010-01-01	3050.1133329999996	1115.93	2794.556667	0.66666666666666664	1.7790
2.79	0.2136	-2.0666666669999996	-5.205814579	2009-10-01	3156.0966669999996	1082.306667	2760.29	0.5	1.7680
2.79	0.2133	-7.7	-10.60191335	2009-07-01	2953.076667	1021.726667	2641.556667	0.5	1.7655
2.79	0.2095	-7.2	-15.06569409	2009-04-01	2689.953333	903.7566667	2194.166667	0.5	1.7346
2.79	0.2097	-4.6	-13.96638685	2009-01-01	2148.906667	786.28	1680.443333	0.5	1.7361
3.33	0.2097	2.5	-9.048093906	2008-10-01	1806.92	922.7466667	1762.776667	1	1.7365
4.14	0.2131	9.7333333329999984	-4.680267367	2008-07-01	2488.956667	1238.856667	2676.17	2.25	1.7639
4.14	0.2142	8.366666667	-1.353286942	2008-04-01	3287.52	1355.323333	3095.983333	2.25	1.7734
4.14	0.2093	6.9	1.31640855	2008-01-01	4068.213333	1343.96	3005.186667	3.1666666666666668	1.7323
3.33	0.2127	4.4	2.605125175	2007-10-01	5362.703333	1499.626667	3575.2	4.9166666666666664	1.7605
3.33	0.2127	2.5666666669999996	2.522910872	2007-07-01	5080.716667	1485.336667	3484.953333	5.75	1.7603
3.33	0.2117	2.733333333	2.847758159	2007-04-01	3923.873333	1505.446667	3400.976667	6.25	1.7517
3.33	0.2089	2.866666667	2.269375144	2007-01-01	2950.463333	1421.973333	3079.856667	6.25	1.7296
